"","aic","r2","adjr2"
"515",2490.451,0.2825345,-0.0003409626
"516",2469.361,0.46976,0.09811919
"517",2431.503,0.5382915,0.1780664
"518",2485.548,0.3043736,0.02100986
"519",2483.183,0.3868889,0.04671493
"520",2475.375,0.4355352,0.08079558
"521",2456.61,0.5134252,0.1373663
"522",2466.464,0.4373169,0.08617174
"523",2474.973,0.2911449,0.01987932
"524",2437.144,0.5986638,0.2164269
"525",2479.675,0.4908447,0.1034835
"526",2452.834,0.5164168,0.1444673
"527",2455.247,0.5055285,0.1314856
"528",2457.291,0.578457,0.1804025
"529",2487.243,0.3002683,0.01089479
"530",2464.786,0.5264664,0.1391988
"531",2476.291,0.4826173,0.09773723
"532",2478.306,0.4337077,0.06794148
"533",2443.886,0.5716776,0.1882185
"534",2448.819,0.5935098,0.2021324
"535",2469.691,0.3900565,0.06048397
"536",2435.921,0.6497642,0.2629757
"537",2456.009,0.4648623,0.1107503
"538",2471.136,0.4160764,0.06935416
"539",2459.62,0.4944641,0.1221457
"540",2479.238,0.3738619,0.04308055
"541",2463.993,0.5342827,0.1419516
"542",2462.204,0.4098215,0.07442904
"543",2510.559,0.4172448,0.02454634
"544",2472.616,0.3965357,0.05886393
"545",2456.947,0.5229007,0.1418643
"546",2511.063,0.488384,0.07002105
"547",2419.854,0.6167633,0.2400595
"548",2478.899,0.539259,0.1411801
"549",2448.867,0.412556,0.08403118
"550",2472.827,0.4482233,0.08629277
"551",2442.485,0.478662,0.132379
"552",2459.401,0.5510987,0.1532402
"553",2476.201,0.317169,0.02592871
"554",2459.062,0.5578107,0.1658264
"555",2460.636,0.5267137,0.1430646
"556",2462.968,0.4402337,0.08906396
"557",2478.349,0.4136111,0.06337902
"558",2467.667,0.4190464,0.07936645
"559",2482.915,0.2863507,0.01323241
"560",2483.213,0.3381494,0.02983597
"561",2488.67,0.5299332,0.1179401
"562",2491.324,0.4661329,0.07934151
"563",2476.244,0.3716724,0.04496635
"564",2432.021,0.5918098,0.2164644
"565",2469.593,0.5117625,0.124651
"566",2453.047,0.4919533,0.1263421
"567",2494.841,0.4286996,0.05160255
"568",2477.145,0.4514369,0.08228614
"569",2472.034,0.5177589,0.1247388
"570",2493.075,0.4438999,0.06322168
"571",2472.533,0.5707141,0.1622514
"572",2471.925,0.4185263,0.07528178
"573",2486.82,0.432695,0.05940957
"574",2454.329,0.5036667,0.1363154
"575",2484.735,0.467225,0.08054043
"576",2474.182,0.5652404,0.1545263
"577",2500.582,0.496283,0.07951999
"578",2463.384,0.5018461,0.1271578
"579",2453.692,0.5836928,0.194809
"580",2443.347,0.5121793,0.1428665
"581",2398.855,0.6510573,0.2963927
"582",2458.921,0.5610873,0.1702659
"583",2456.145,0.5074162,0.1337164
"584",2485.989,0.493816,0.09952769
"585",2437.707,0.6802343,0.2926617
"586",2479.422,0.4733183,0.09470196
"587",2425.338,0.5543039,0.195067
"588",2466.928,0.3701775,0.05468704
"589",2478.489,0.3398115,0.03475449
"590",2456.612,0.4711368,0.1103799
"591",2496.073,0.4222541,0.04522947
"592",2473.797,0.5378199,0.131978
"593",2466.331,0.4679705,0.09980708
"594",2461.442,0.4546708,0.09654848
"595",2469.142,0.3912184,0.05785222
"596",2500.071,0.2683968,-0.005001582
"597",2449.087,0.4847774,0.1252893
"598",2455.478,0.4982104,0.1299891
"599",2480.4,0.5204865,0.1170889
"600",2446.043,0.5744098,0.1919944
"601",2458.656,0.4996405,0.1281249
"602",2466.737,0.4483966,0.09009557
"603",2456.075,0.537374,0.1599886
"604",2453.982,0.543901,0.1614221
"605",2482.733,0.564409,0.1496782
"606",2441.863,0.559648,0.1787088
"607",2465.492,0.5383084,0.1435533
"608",2440.784,0.6286446,0.2386873
"609",2474.054,0.500686,0.1113513
"610",2480.247,0.4718075,0.08560186
"611",2444.777,0.545806,0.1741742
"612",2466.637,0.5428637,0.1494924
"613",2494.306,0.3263418,0.02124121
"614",2449.094,0.5758106,0.1836472
"615",2465.983,0.5438994,0.1472668
"616",2446.212,0.4898944,0.127516
"617",2476.991,0.4813586,0.09999853
"618",2475.724,0.4579138,0.08907473
"619",2487.08,0.5292631,0.1208268
"620",2467.437,0.473291,0.1019727
"621",2479.076,0.3292123,0.02701622
"622",2438.1,0.5801977,0.200053
"623",2442.154,0.4608615,0.1204548
"624",2469.764,0.5080677,0.1201823
"625",2459.475,0.5540912,0.1643441
"626",2463.241,0.439701,0.09565512
"627",2473.849,0.4869873,0.09902864
"628",2479.926,0.4103909,0.06038088
"629",2476.559,0.506709,0.1112017
"630",2458.857,0.4816006,0.1147251
"631",2463.431,0.4659356,0.1012262
"632",2472.154,0.4719771,0.1005355
"633",2478.519,0.3164142,0.02171914
"634",2460.467,0.588328,0.1876159
"635",2429.322,0.6011957,0.220137
"636",2468.427,0.441283,0.08651272
"637",2459.15,0.5452171,0.156126
"638",2475.449,0.4841288,0.1067775
"639",2463.928,0.5408101,0.1468087
"640",2469.924,0.4723989,0.09735676
"641",2438.586,0.6390663,0.2553177
"642",2499.42,0.554177,0.1239699
"643",2462.683,0.5553152,0.1624626
"644",2438.187,0.6136462,0.2320739
"645",2477.727,0.4503272,0.08113276
"646",2474.25,0.4933578,0.1064048
"647",2464.084,0.4901204,0.1099697
"648",2456.22,0.5273968,0.1509357
"649",2470.591,0.4486756,0.08310365
"650",2477.999,0.4263988,0.06817924
"651",2463.234,0.4845131,0.1108263
"652",2463.676,0.4837223,0.1135256
"653",2454.694,0.4960867,0.1310493
"654",2430.356,0.6968325,0.3133031
"655",2468.573,0.5881767,0.1802977
"656",2511.536,0.5317795,0.0932184
"657",2494.415,0.3353818,0.02406911
"658",2477.414,0.3990496,0.04625314
"659",2449.304,0.4237936,0.09440577
"660",2478.151,0.4533267,0.08425684
"661",2468.817,0.5581876,0.1556477
"662",2448.734,0.5199309,0.1452415
"663",2433.798,0.5566803,0.1849353
"664",2462.478,0.4092609,0.07391824
"665",2457.992,0.4759268,0.1084631
"666",2491.784,0.4726561,0.07132033
"667",2478.943,0.4324541,0.07041331
"668",2454.557,0.5333689,0.1583871
"669",2425.024,0.6385174,0.2641177
"670",2482.203,0.3218907,0.02181409
"671",2484.304,0.5105563,0.1158819
"672",2467.315,0.3470491,0.043815
"673",2477.287,0.4624819,0.08658416
"674",2464.271,0.5942821,0.1893456
"675",2471.531,0.5414425,0.1440376
"676",2454.409,0.4859874,0.1196174
"677",2490.469,0.4640059,0.07701444
"678",2472.805,0.3961386,0.06578261
"679",2454.784,0.5673465,0.1788192
"680",2460.503,0.4333191,0.085838
"681",2494.6,0.3665097,0.02569615
"682",2463.888,0.4500202,0.09534675
"683",2462.938,0.5262171,0.1388862
"684",2438.511,0.4786142,0.1254685
"685",2465.244,0.4844958,0.1108068
"686",2473.923,0.4687234,0.09699346
"687",2466.949,0.361323,0.05121328
"688",2463.802,0.4870703,0.1028162
"689",2446.392,0.4966151,0.1351273
"690",2465.429,0.5603112,0.1585609
"691",2461.805,0.4762665,0.108836
"692",2433.188,0.5697366,0.1923339
"693",2479.467,0.4154049,0.0613639
"694",2454.814,0.4816768,0.1253476
"695",2455.512,0.5252707,0.1447982
"696",2430.852,0.5849053,0.2132782
"697",2479.682,0.4149687,0.06465008
"698",2439.209,0.5387626,0.1685963
"699",2449.19,0.5606769,0.1834893
"700",2493.908,0.5246187,0.1110663
"701",2472.33,0.5304881,0.1334742
"702",2482.753,0.4745406,0.0848938
"703",2493.291,0.3909036,0.04273705
"704",2464.906,0.5671636,0.1680368
"705",2468.649,0.5200723,0.1348197
"706",2436.651,0.4996494,0.152163
"707",2439.748,0.5248826,0.1649357
"708",2473.874,0.4226522,0.07192209
"709",2505.226,0.3952551,0.01958316
"710",2489.235,0.4880783,0.08903863
"711",2480.646,0.6103333,0.1887813
"712",2473.115,0.4882929,0.1115017
"713",2459.71,0.5379596,0.146686
"714",2475.499,0.6145683,0.1954876
"715",2445.698,0.5183203,0.1502196
"716",2457.924,0.5245919,0.147465
"717",2455.354,0.4548378,0.1038339
"718",2452.961,0.4741597,0.1136473
"719",2485.652,0.5380531,0.1210639
"720",2407.072,0.5787779,0.2241478
"721",2449.934,0.493913,0.1285689
"722",2453.561,0.630218,0.2378377
"723",2457.677,0.5568658,0.1680612
"724",2439.313,0.4950036,0.1367458
"725",2488.401,0.4860015,0.08661948
"726",2485.592,0.4028382,0.0459284
"727",2482.949,0.5359678,0.1182934
"728",2474.544,0.4998354,0.110342
"729",2453.537,0.5839172,0.1882203
"730",2465.482,0.5186817,0.1295096
"731",2480.589,0.4892253,0.09789662
"732",2457.11,0.5159532,0.1368919
"733",2459.74,0.4269153,0.07601441
"734",2459.778,0.5688546,0.1739231
